OCCP - 4 Digit Level,total_working_16
"Managers, nfd",36635
"Chief Executives, General Managers and Legislators, nfd",609
Chief Executives and Managing Directors,58325
General Managers,52270
Legislators,2073
"Farmers and Farm Managers, nfd",10468
Aquaculture Farmers,1658
Crop Farmers,40171
Livestock Farmers,66082
Mixed Crop and Livestock Farmers,23045
"Specialist Managers, nfd",24196
"Advertising, Public Relations and Sales Managers",111086
"Business Administration Managers, nfd",5942
Corporate Services Managers,7199
Finance Managers,47012
Human Resource Managers,45347
Policy and Planning Managers,21268
Research and Development Managers,10965
"Construction, Distribution and Production Managers, nfd",2522
Construction Managers,92380
Engineering Managers,15421
"Importers, Exporters and Wholesalers",15940
Manufacturers,13085
Production Managers,48109
"Supply, Distribution and Procurement Managers",32553
"Education, Health and Welfare Services Managers, nfd",886
Child Care Centre Managers,11179
Health and Welfare Services Managers,24250
School Principals,20616
Other Education Managers,11047
ICT Managers,59130
"Miscellaneous Specialist Managers, nfd",299
Commissioned Officers (Management),8818
Senior Non-commissioned Defence Force Members,2939
Other Specialist Managers,49771
"Hospitality, Retail and Service Managers, nfd",2121
"Accommodation and Hospitality Managers, nfd",1391
Cafe and Restaurant Managers,53892
Caravan Park and Camping Ground Managers,3298
Hotel and Motel Managers,19943
Licensed Club Managers,5758
Other Accommodation and Hospitality Managers,6338
Retail Managers,184751
"Miscellaneous Hospitality, Retail and Service Managers, nfd",1130
"Amusement, Fitness and Sports Centre Managers",10580
Call or Contact Centre and Customer Service Managers,37849
Conference and Event Organisers,20505
Transport Services Managers,16203
"Other Hospitality, Retail and Service Managers",52997
"Professionals, nfd",38159
"Arts and Media Professionals, nfd",535
"Arts Professionals, nfd",2703
"Actors, Dancers and Other Entertainers",5958
Music Professionals,8375
Photographers,11144
Visual Arts and Crafts Professionals,5355
"Media Professionals, nfd",2433
"Artistic Directors, and Media Producers and Presenters",9900
"Authors, and Book and Script Editors",4744
"Film, Television, Radio and Stage Directors",9290
Journalists and Other Writers,19157
"Business, Human Resource and Marketing Professionals, nfd",2584
"Accountants, Auditors and Company Secretaries, nfd",434
Accountants,146399
"Auditors, Company Secretaries and Corporate Treasurers",17924
"Financial Brokers and Dealers, and Investment Advisers, nfd",959
Financial Brokers,24580
Financial Dealers,16365
Financial Investment Advisers and Managers,31455
"Human Resource and Training Professionals, nfd",334
Human Resource Professionals,55323
ICT Trainers,1874
Training and Development Professionals,18273
"Information and Organisation Professionals, nfd",701
"Actuaries, Mathematicians and Statisticians",5615
"Archivists, Curators and Records Managers",5718
Economists,2899
Intelligence and Policy Analysts,16252
Land Economists and Valuers,12285
Librarians,9002
Management and Organisation Analysts,62973
Other Information and Organisation Professionals,20167
"Sales, Marketing and Public Relations Professionals, nfd",1539
Advertising and Marketing Professionals,61835
ICT Sales Professionals,15156
Public Relations Professionals,15483
Technical Sales Representatives,29214
"Design, Engineering, Science and Transport Professionals, nfd",725
"Air and Marine Transport Professionals, nfd",18
Air Transport Professionals,13005
Marine Transport Professionals,7841
"Architects, Designers, Planners and Surveyors, nfd",6050
Architects and Landscape Architects,20060
Surveyors and Spatial Scientists,11837
"Fashion, Industrial and Jewellery Designers",7479
"Graphic and Web Designers, and Illustrators",36601
Interior Designers,9051
Urban and Regional Planners,11208
"Engineering Professionals, nfd",13844
Chemical and Materials Engineers,2949
Civil Engineering Professionals,35888
Electrical Engineers,13804
Electronics Engineers,4637
"Industrial, Mechanical and Production Engineers",21375
Mining Engineers,6641
Other Engineering Professionals,6627
"Natural and Physical Science Professionals, nfd",7484
Agricultural and Forestry Scientists,5438
"Chemists, and Food and Wine Scientists",6605
Environmental Scientists,16041
"Geologists, Geophysicists and Hydrogeologists",6811
Life Scientists,4966
Medical Laboratory Scientists,16277
Veterinarians,8499
Other Natural and Physical Science Professionals,7073
"Education Professionals, nfd",5813
"School Teachers, nfd",17858
Early Childhood (Pre-primary School) Teachers,27130
Primary School Teachers,148498
Middle School Teachers (Aus) / Intermediate School Teachers (NZ),708
Secondary School Teachers,137346
Special Education Teachers,20290
"Tertiary Education Teachers, nfd",1188
University Lecturers and Tutors,49227
Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),30893
"Miscellaneous Education Professionals, nfd",841
Education Advisers and Reviewers,9997
Private Tutors and Teachers,35122
Teachers of English to Speakers of Other Languages,6856
"Health Professionals, nfd",2062
"Health Diagnostic and Promotion Professionals, nfd",191
Nutrition Professionals,4871
Medical Imaging Professionals,15887
Occupational and Environmental Health Professionals,19899
Optometrists and Orthoptists,5033
Pharmacists,23372
Other Health Diagnostic and Promotion Professionals,5589
"Health Therapy Professionals, nfd",182
Chiropractors and Osteopaths,5285
Complementary Health Therapists,6345
Dental Practitioners,13130
Occupational Therapists,12352
Physiotherapists,20746
Podiatrists,3696
Audiologists and Speech Pathologists \ Therapists,9139
"Medical Practitioners, nfd",1810
General Practitioners and Resident Medical Officers,54105
Anaesthetists,4291
Specialist Physicians,7423
Psychiatrists,3084
Surgeons,5912
Other Medical Practitioners,10989
"Midwifery and Nursing Professionals, nfd",292
Midwives,18315
Nurse Educators and Researchers,5397
Nurse Managers,16059
Registered Nurses,220981
"ICT Professionals, nfd",18822
"Business and Systems Analysts, and Programmers, nfd",952
ICT Business and Systems Analysts,23710
Multimedia Specialists and Web Developers,9287
Software and Applications Programmers,79579
"Database and Systems Administrators, and ICT Security Specialists",23678
"ICT Network and Support Professionals, nfd",727
Computer Network Professionals,20751
ICT Support and Test Engineers,10174
Telecommunications Engineering Professionals,9030
