Occupation,Census16_total_working,ANZSCO_4dig,ANZSCO_3dig,ANZSCO_2dig,ANZSCO_1dig,ANZSCO_group,ANZSCO_group_name,DNscore_onet,DNscore_manual
"Managers, nfd",36635,1000,1000,1000,1000,1,Managers,0.538912456946474,0.5782979831293754
"Chief Executives, General Managers and Legislators, nfd",609,1110,1110,1100,1000,1,Managers,1,1
Chief Executives and Managing Directors,58325,1111,1110,1100,1000,1,Managers,1,1
General Managers,52270,1112,1110,1100,1000,1,Managers,1,1
Legislators,2073,1113,1110,1100,1000,1,Managers,1,1
"Farmers and Farm Managers, nfd",10468,1210,1210,1200,1000,1,Managers,0,0.25
Aquaculture Farmers,1658,1211,1210,1200,1000,1,Managers,0,0.25
Crop Farmers,40171,1212,1210,1200,1000,1,Managers,0,0.25
Livestock Farmers,66082,1213,1210,1200,1000,1,Managers,0,0.25
Mixed Crop and Livestock Farmers,23045,1214,1210,1200,1000,1,Managers,0,0.25
"Specialist Managers, nfd",24196,1300,1300,1300,1000,1,Managers,0.7286327441872329,0.743070991030605
"Advertising, Public Relations and Sales Managers",111086,1311,1310,1300,1000,1,Managers,1,1
"Business Administration Managers, nfd",5942,1320,1320,1300,1000,1,Managers,1,0.9792000212457603
Corporate Services Managers,7199,1321,1320,1300,1000,1,Managers,1,1
Finance Managers,47012,1322,1320,1300,1000,1,Managers,1,1
Human Resource Managers,45347,1323,1320,1300,1000,1,Managers,1,1
Policy and Planning Managers,21268,1324,1320,1300,1000,1,Managers,1,1
Research and Development Managers,10965,1325,1320,1300,1000,1,Managers,1,0.75
"Construction, Distribution and Production Managers, nfd",2522,1330,1330,1300,1000,1,Managers,0.2938736849849187,0.3823371864194806
Construction Managers,92380,1331,1330,1300,1000,1,Managers,0,0.25
Engineering Managers,15421,1332,1330,1300,1000,1,Managers,1,0.75
"Importers, Exporters and Wholesalers",15940,1333,1330,1300,1000,1,Managers,1,1
Manufacturers,13085,1334,1330,1300,1000,1,Managers,0,0
Production Managers,48109,1335,1330,1300,1000,1,Managers,0,0
"Supply, Distribution and Procurement Managers",32553,1336,1330,1300,1000,1,Managers,1,1
"Education, Health and Welfare Services Managers, nfd",886,1340,1340,1300,1000,1,Managers,0.8333780480534192,0.72891700947952065
Child Care Centre Managers,11179,1341,1340,1300,1000,1,Managers,0,1
Health and Welfare Services Managers,24250,1342,1340,1300,1000,1,Managers,1,0.25
School Principals,20616,1343,1340,1300,1000,1,Managers,1,1
Other Education Managers,11047,1344,1340,1300,1000,1,Managers,1,1
ICT Managers,59130,1351,1350,1300,1000,1,Managers,1,1
"Miscellaneous Specialist Managers, nfd",299,1390,1390,1300,1000,1,Managers,0.80891626576518,0.80891626576518
Commissioned Officers (Management),8818,1391,1390,1300,1000,1,Managers,0,0
Senior Non-commissioned Defence Force Members,2939,1392,1390,1300,1000,1,Managers,0,0
Other Specialist Managers,49771,1399,1390,1300,1000,1,Managers,1,1
"Hospitality, Retail and Service Managers, nfd",2121,1400,1400,1400,1000,1,Managers,0.2860136255199703,0.30545601836513103
"Accommodation and Hospitality Managers, nfd",1391,1410,1410,1400,1000,1,Managers,0,0.16712615853590201
Cafe and Restaurant Managers,53892,1411,1410,1400,1000,1,Managers,0,0.25
Caravan Park and Camping Ground Managers,3298,1412,1410,1400,1000,1,Managers,0,0
Hotel and Motel Managers,19943,1413,1410,1400,1000,1,Managers,0,0
Licensed Club Managers,5758,1414,1410,1400,1000,1,Managers,0,0.25
Other Accommodation and Hospitality Managers,6338,1419,1410,1400,1000,1,Managers,0,0
Retail Managers,184751,1421,1420,1400,1000,1,Managers,0,0
"Miscellaneous Hospitality, Retail and Service Managers, nfd",1130,1490,1490,1400,1000,1,Managers,0.8515571836043262,0.8006935294713828
"Amusement, Fitness and Sports Centre Managers",10580,1491,1490,1400,1000,1,Managers,1,1
Call or Contact Centre and Customer Service Managers,37849,1492,1490,1400,1000,1,Managers,1,1
Conference and Event Organisers,20505,1493,1490,1400,1000,1,Managers,0,0.25
Transport Services Managers,16203,1494,1490,1400,1000,1,Managers,1,0.25
"Other Hospitality, Retail and Service Managers",52997,1499,1490,1400,1000,1,Managers,1,1
"Professionals, nfd",38159,2000,2000,2000,2000,2,Professionals,0.7059730271708542,0.6702988067548495
"Arts and Media Professionals, nfd",535,2100,2100,2100,2000,2,Professionals,0.6705178699834276,0.16422859248853802
"Arts Professionals, nfd",2703,2110,2110,2100,2000,2,Professionals,0.5351258432797094,0.08684159314997406
"Actors, Dancers and Other Entertainers",5958,2111,2110,2100,2000,2,Professionals,0,0
