"ANZSCO_code","ANZSCO_title","DNscore_onet","DNscore_manual"
1111,"Chief Executives and Managing Directors",1,1
1112,"General Managers",1,1
1113,"Legislators",1,1
1211,"Aquaculture Farmers",0,0.25
1212,"Crop Farmers",0,0.25
1213,"Livestock Farmers",0,0.25
1214,"Mixed Crop and Livestock Farmers",0,0.25
1311,"Advertising, Public Relations and Sales Managers",1,1
1321,"Corporate Services Managers",1,1
1322,"Finance Managers",1,1
1323,"Human Resource Managers",1,1
1324,"Policy and Planning Managers",1,1
1325,"Research and Development Managers",1,0.75
1331,"Construction Managers",0,0.25
1332,"Engineering Managers",1,0.75
1333,"Importers, Exporters and Wholesalers",1,1
1334,"Manufacturers",0,0
1335,"Production Managers",0,0
1336,"Supply, Distribution and Procurement Managers",1,1
1341,"Child Care Centre Managers",0,1
1342,"Health and Welfare Services Managers",1,0.25
1343,"School Principals",1,1
1344,"Other Education Managers",1,1
1351,"ICT Managers",1,1
1391,"Commissioned Officers (Management)",0,0
1392,"Senior Non-commissioned Defence Force Members",0,0
1399,"Other Specialist Managers",1,1
1411,"Cafe and Restaurant Managers",0,0.25
1412,"Caravan Park and Camping Ground Managers",0,0
1413,"Hotel and Motel Managers",0,0
1414,"Licensed Club Managers",0,0.25
1419,"Other Accommodation and Hospitality Managers",0,0
1421,"Retail Managers",0,0
1491,"Amusement, Fitness and Sports Centre Managers",1,1
1492,"Call or Contact Centre and Customer Service Managers",1,1
1493,"Conference and Event Organisers",0,0.25
1494,"Transport Services Managers",1,0.25
1499,"Other Hospitality, Retail and Service Managers",1,1
2111,"Actors, Dancers and Other Entertainers",0,0
2112,"Music Professionals",0,0
2113,"Photographers",1,0
2114,"Visual Arts and Crafts Professionals",1,0.5
2121,"Artistic Directors, and Media Producers and Presenters",0,0
2122,"Authors, and Book and Script Editors",1,1
2123,"Film, Television, Radio and Stage Directors",1,0
2124,"Journalists and Other Writers",1,0.25
2211,"Accountants",1,1
2212,"Auditors, Company Secretaries and Corporate Treasurers",1,1
2221,"Financial Brokers",0,1
2222,"Financial Dealers",1,0.75
2223,"Financial Investment Advisers and Managers",1,1
2231,"Human Resource Professionals",1,1
2232,"ICT Trainers",1,1
2233,"Training and Development Professionals",1,0.75
2241,"Actuaries, Mathematicians and Statisticians",1,1
2242,"Archivists, Curators and Records Managers",1,0
2243,"Economists",1,1
2244,"Intelligence and Policy Analysts",1,1
2245,"Land Economists and Valuers",0,1
2246,"Librarians",1,0
2247,"Management and Organisation Analysts",1,1
2249,"Other Information and Organisation Professionals",1,1
2251,"Advertising and Marketing Professionals",1,1
2252,"ICT Sales Professionals",1,0.75
2253,"Public Relations Professionals",1,1
2254,"Technical Sales Representatives",1,0.75
2311,"Air Transport Professionals",0,0
